Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days,Actual Transit days,Delayed Flag,Cost per mille,Cost per Kg,Cost Efficiency,Weight Category,Distance Category
SH10000,Warehouse_MIA,San Francisco,UPS,2023-10-02,2023-10-04,25.7,67.46,Delivered,291,2,2.0,0,0.23182130584192437,2.6249027237354086,33.73,Heavy,Local
SH10001,Warehouse_MIA,Atlanta,DHL,2023-12-06,2023-12-09,38.9,268.85,Delivered,1225,3,3.0,0,0.21946938775510205,6.911311053984576,89.61666666666667,Heavy,Cross-country
SH10002,Warehouse_LA,Houston,DHL,2023-09-18,2023-09-20,37.2,74.35,Delivered,220,2,2.0,0,0.33795454545454545,1.9986559139784943,37.175,Heavy,Local
SH10003,Warehouse_BOS,Seattle,OnTrac,2023-01-26,2023-02-04,42.6,187.04,Delivered,1156,9,9.0,0,0.1617993079584775,4.390610328638497,20.78222222222222,Heavy,Cross-country
SH10004,Warehouse_SF,Dallas,OnTrac,2023-06-03,2023-06-06,7.9,120.01,Delivered,1017,3,3.0,0,0.11800393313667651,15.19113924050633,40.00333333333334,Medium,Cross-country
SH10005,Warehouse_ATL,New York,FedEx,2023-09-13,2023-09-16,9.1,143.26,Delivered,898,3,3.0,0,0.15953229398663696,15.742857142857142,47.75333333333333,Medium,Regional
SH10006,Warehouse_BOS,Houston,UPS,2023-10-19,2023-10-23,0.4,225.23,Delivered,1522,4,4.0,0,0.14798291721419185,563.0749999999999,56.3075,Light,Cross-country
SH10007,Warehouse_CHI,Portland,Amazon Logistics,2023-02-27,2023-03-08,16.7,281.23,Delivered,2013,9,9.0,0,0.1397069051167412,16.840119760479045,31.24777777777778,Medium,International
SH10008,Warehouse_HOU,Detroit,Amazon Logistics,2023-11-24,2023-12-01,15.1,341.93,Delivered,2072,7,7.0,0,0.16502413127413126,22.644370860927154,48.847142857142856,Medium,International
SH10009,Warehouse_SF,Detroit,LaserShip,2023-01-19,2023-01-21,27.7,55.24,Delivered,214,2,2.0,0,0.2581308411214953,1.9942238267148016,27.62,Heavy,Local
SH10010,Warehouse_MIA,Chicago,FedEx,2023-02-02,2023-02-07,7.1,251.53,Delivered,1736,5,5.0,0,0.14489055299539172,35.426760563380284,50.306,Medium,Cross-country
SH10011,Warehouse_ATL,Boston,Amazon Logistics,2023-05-28,2023-06-04,38.2,357.12,Delayed,2366,6,7.0,1,0.15093829247675403,9.34869109947644,51.01714285714286,Heavy,International
SH10012,Warehouse_SEA,New York,FedEx,2023-08-08,2023-08-13,34.4,121.14,Delivered,650,5,5.0,0,0.18636923076923076,3.521511627906977,24.228,Heavy,Regional
